PLAYER_NAME,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,PTS,FG_PCT,FG3_PCT,FT_PCT,TRUE_SHOOTING,AST,TOV,AST_TOV_RATIO,REB,STL,BLK,PLUS_MINUS,CLUTCH_PPM,OVR_PPM,PTS_CER,OVR_PTS,OVR_FG_PCT,FG_PCT_RATIO
AJ Green,MIL,26.0,28,14,14,0.5,3.5,0.9,0.259,0.24,0.667,0.414,0.0,0.1,0.0,0.2,0.0,0.0,0.5,0.2571,0.3574,0.719,10.4,0.424,0.611
Aaron Gordon,DEN,30.0,14,9,5,0.643,5.2,3.4,0.586,0.615,0.6,0.706,0.4,0.2,2.0,0.8,0.1,0.1,1.8,0.6538,0.5806,1.126,16.2,0.497,1.179
Aaron Nesmith,IND,26.0,20,8,12,0.4,3.5,1.3,0.391,0.267,0.5,0.488,0.2,0.1,2.0,0.9,0.1,0.2,-0.5,0.3714,0.4646,0.799,13.8,0.414,0.944
Adem Bona,PHI,23.0,16,9,7,0.563,3.3,0.5,0.6,0.0,0.5,0.579,0.1,0.1,1.0,0.5,0.0,0.3,0.9,0.1515,0.2759,0.549,4.8,0.595,1.008
Alex Caruso,OKC,32.0,19,14,5,0.737,3.3,0.9,0.286,0.385,0.0,0.409,0.3,0.1,3.0,0.8,0.3,0.1,1.8,0.2727,0.3407,0.8,6.2,0.423,0.676
Alex Sarr,WAS,21.0,14,7,7,0.5,4.3,1.9,0.5,0.333,0.625,0.571,0.1,0.2,0.5,1.0,0.1,0.4,-1.1,0.4419,0.5993,0.737,16.3,0.482,1.037
Alperen Sengun,HOU,23.0,38,19,19,0.5,4.0,2.4,0.439,0.0,0.571,0.462,0.5,0.5,1.0,0.9,0.1,0.2,0.7,0.6,0.6126,0.979,20.4,0.519,0.846
Amen Thompson,HOU,23.0,42,19,23,0.452,4.0,1.7,0.51,0.0,0.808,0.581,0.3,0.3,1.0,0.8,0.1,0.0,-0.8,0.425,0.4893,0.869,18.3,0.534,0.955
Andrew Nembhard,IND,26.0,22,8,14,0.364,3.5,1.5,0.438,0.333,0.6,0.472,0.5,0.5,1.0,0.3,0.0,0.0,-1.1,0.4286,0.5399,0.794,16.9,0.442,0.991
Andrew Wiggins,MIA,31.0,25,13,12,0.52,3.3,1.9,0.583,0.615,0.706,0.726,0.1,0.0,,0.6,0.2,0.0,-0.7,0.5758,0.5083,1.133,15.4,0.475,1.227
Anthony Black,ORL,22.0,26,17,9,0.654,4.2,1.5,0.5,0.25,0.5,0.545,0.3,0.2,1.5,0.4,0.3,0.1,-0.3,0.3571,0.5034,0.709,15.0,0.447,1.119
Anthony Edwards,MIN,24.0,24,15,9,0.625,3.9,5.6,0.565,0.378,0.833,0.688,0.3,0.3,1.0,0.9,0.2,0.1,1.0,1.4359,0.8229,1.745,28.8,0.489,1.155
Austin Reaves,LAL,27.0,19,14,5,0.737,3.4,1.4,0.32,0.071,0.833,0.448,0.1,0.3,0.33,0.7,0.0,0.1,1.9,0.4118,0.6754,0.61,23.3,0.49,0.653
Bennedict Mathurin,LAC,23.0,23,9,14,0.391,4.0,1.9,0.321,0.0,0.862,0.536,0.3,0.3,1.0,0.6,0.1,0.0,-0.7,0.475,0.5867,0.81,17.6,0.43,0.747
Brandin Podziemski,GSW,23.0,33,14,19,0.424,3.0,1.3,0.517,0.385,0.667,0.604,0.3,0.1,3.0,0.5,0.2,0.0,0.1,0.4333,0.4859,0.892,13.8,0.455,1.136
Brandon Ingram,TOR,28.0,32,19,13,0.594,3.2,2.0,0.394,0.3,0.75,0.448,0.3,0.1,3.0,0.5,0.1,0.1,1.0,0.625,0.6361,0.983,21.5,0.477,0.826
Brandon Miller,CHA,23.0,20,10,10,0.5,3.3,1.3,0.208,0.167,0.929,0.431,0.2,0.2,1.0,0.8,0.1,0.2,-0.6,0.3939,0.6667,0.591,20.2,0.435,0.478
Brandon Williams,DAL,26.0,22,11,11,0.5,3.3,1.4,0.321,0.182,0.733,0.435,0.5,0.1,5.0,0.4,0.1,0.0,1.0,0.4242,0.5856,0.724,13.0,0.472,0.68
Brice Sensabaugh,UTA,22.0,16,8,8,0.5,3.1,1.8,0.692,0.714,0.833,0.922,0.1,0.1,1.0,0.5,0.1,0.0,0.3,0.5806,0.634,0.916,14.9,0.46,1.504
Brook Lopez,LAC,38.0,11,6,5,0.545,3.6,1.2,0.462,0.167,0.0,0.466,0.2,0.1,2.0,0.9,0.1,0.2,0.0,0.3333,0.3899,0.855,8.5,0.428,1.079
CJ McCollum,ATL,34.0,27,14,13,0.519,3.9,2.5,0.381,0.37,0.692,0.496,0.4,0.2,2.0,0.4,0.1,0.1,0.3,0.641,0.6275,1.022,18.7,0.455,0.837
Cade Cunningham,DET,24.0,31,21,10,0.677,3.4,3.9,0.5,0.067,0.792,0.6,0.6,0.3,2.0,0.7,0.1,0.1,1.4,1.1471,0.705,1.627,23.9,0.461,1.085
Cameron Johnson,DEN,30.0,23,11,12,0.478,4.3,1.0,0.294,0.308,0.889,0.571,0.2,0.0,,0.4,0.1,0.1,0.5,0.2326,0.4,0.582,12.2,0.48,0.612
Cason Wallace,OKC,22.0,27,18,9,0.667,3.0,0.8,0.533,0.429,1.0,0.621,0.2,0.2,1.0,0.3,0.2,0.0,1.4,0.2667,0.3233,0.825,8.6,0.432,1.234
Cedric Coward,MEM,22.0,28,12,16,0.429,3.2,1.6,0.395,0.368,0.615,0.494,0.3,0.3,1.0,0.8,0.0,0.1,-0.3,0.5,0.5271,0.949,13.6,0.471,0.839
Chet Holmgren,OKC,24.0,27,20,7,0.741,3.7,2.0,0.552,0.667,0.75,0.668,0.1,0.0,,1.3,0.0,0.0,2.4,0.5405,0.5917,0.913,17.1,0.557,0.991
Christian Braun,DEN,25.0,21,10,11,0.476,5.0,0.5,0.167,0.286,0.833,0.342,0.1,0.1,1.0,0.6,0.0,0.1,-1.9,0.1,0.3774,0.265,12.0,0.519,0.322
Coby White,CHA,26.0,16,10,6,0.625,3.9,3.8,0.447,0.429,0.8,0.612,0.6,0.5,1.2,0.4,0.1,0.0,1.3,0.9744,0.696,1.4,17.4,0.446,1.002
Collin Gillespie,PHX,26.0,30,14,16,0.467,3.0,1.0,0.345,0.294,1.0,0.479,0.3,0.1,3.0,0.3,0.1,0.0,0.2,0.3333,0.4456,0.748,12.7,0.418,0.825
Collin Murray-Boyles,TOR,20.0,13,7,6,0.538,3.1,0.8,0.333,0.0,0.571,0.435,0.1,0.2,0.5,1.0,0.2,0.1,-0.5,0.2581,0.3881,0.665,8.5,0.579,0.575
